"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","antibiotic_knowledge","attitude","practice","kap_score","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49"
"36–45","Male","Undergraduate","Self employed","Extended family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,65,33.3333333333333,56.3888888888889,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Often",16.6666666666667,60,33.3333333333333,36.6666666666667,0,0,0,0,0,0,1,0,1
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,55,50,35,0,1,0,0,0,0,0,0,1
"36–45","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Always",54.1666666666667,70,50,58.0555555555556,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",12.5,45,50,35.8333333333333,0,0,0,0,0,0,0,0,1
"> 45","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",66.6666666666667,65,66.6666666666667,66.1111111111111,0,1,0,0,0,0,0,0,0
"25–35","Male","Primary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","1","Grandmother","Never",12.5,50,66.6666666666667,43.0555555555556,0,1,0,0,0,0,0,0,0
"36–45","Female","Primary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",33.3333333333333,55,66.6666666666667,51.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",45.8333333333333,55,50,50.2777777777778,0,1,0,0,0,0,1,1,1
"< 25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",16.6666666666667,35,66.6666666666667,39.4444444444444,0,0,0,0,0,0,0,0,1
"25–35","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Never",58.3333333333333,80,83.3333333333333,73.8888888888889,0,1,1,0,0,0,0,0,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",54.1666666666667,65,83.3333333333333,67.5,0,1,1,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","< 5","2","Mother","Sometimes",75,60,83.3333333333333,72.7777777777778,0,1,1,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",66.6666666666667,70,83.3333333333333,73.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",95.8333333333333,65,100,86.9444444444444,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",62.5,60,100,74.1666666666667,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",62.5,65,66.6666666666667,64.7222222222222,0,1,1,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male",NA,"2","Mother","Never",54.1666666666667,70,66.6666666666667,63.6111111111111,0,1,1,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",58.3333333333333,80,83.3333333333333,73.8888888888889,0,1,0,0,0,0,1,1,0
"36–45","Male","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,70,83.3333333333333,73.3333333333333,0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,70,100,77.5,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,75,83.3333333333333,75,0,1,1,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",79.1666666666667,60,100,79.7222222222222,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,85,83.3333333333333,79.7222222222222,0,1,1,0,0,0,0,0,1
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",75,50,50,58.3333333333333,0,1,1,0,0,0,1,0,0
"25–35","Female","Postgraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,60,50,57.5,0,0,0,0,0,1,0,0,0
"25–35","Male","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10",">= 3","Mother","Never",37.5,55,50,47.5,0,1,0,0,0,0,0,0,0
"> 45","Male","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",50,60,66.6666666666667,58.8888888888889,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",37.5,55,50,47.5,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Always",75,75,83.3333333333333,77.7777777777778,0,1,0,0,0,0,0,0,0
"> 45","Male","Secondary","Employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",70.8333333333333,60,33.3333333333333,54.7222222222222,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",62.5,55,66.6666666666667,61.3888888888889,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",79.1666666666667,65,50,64.7222222222222,0,1,0,0,0,1,0,0,0
"25–35","Female","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",50,70,66.6666666666667,62.2222222222222,0,0,1,0,0,0,1,1,0
"36–45","Female","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","1","Grandmother","Never",62.5,55,16.6666666666667,44.7222222222222,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Sometimes",50,60,33.3333333333333,47.7777777777778,0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",70.8333333333333,70,16.6666666666667,52.5,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",54.1666666666667,60,33.3333333333333,49.1666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",66.6666666666667,60,33.3333333333333,53.3333333333333,1,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Never",58.3333333333333,65,50,57.7777777777778,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",50,55,50,51.6666666666667,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5",">= 3","Mother","Never",66.6666666666667,60,33.3333333333333,53.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",37.5,55,16.6666666666667,36.3888888888889,0,1,1,1,0,0,1,1,0
"25–35","Male","Secondary","Employed","Single parent family","Low (less than 30000 BDT)","Female","> 10",">= 3","Mother","Never",33.3333333333333,65,33.3333333333333,43.8888888888889,0,0,0,0,0,0,1,1,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",75,70,50,65,0,1,1,0,0,0,1,1,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",66.6666666666667,55,33.3333333333333,51.6666666666667,0,0,0,0,0,0,1,1,0
"25–35","Male","Undergraduate","Self employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",54.1666666666667,60,33.3333333333333,49.1666666666667,0,1,1,0,0,0,1,1,0
"25–35","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",75,70,50,65,1,0,0,0,0,0,1,1,0
"25–35","Male","Postgraduate","Employed","Single parent family","Low (less than 30000 BDT)","Female","< 5","1","Mother","Never",62.5,60,33.3333333333333,51.9444444444444,1,0,0,0,0,0,1,1,0
"25–35","Male","Secondary","Employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",50,55,33.3333333333333,46.1111111111111,0,1,0,0,0,0,1,1,0
"> 45","Male","Primary","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",12.5,50,16.6666666666667,26.3888888888889,0,0,0,0,0,0,1,1,0
"25–35","Male","Postgraduate","Employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",91.6666666666667,65,66.6666666666667,74.4444444444444,1,0,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",45.8333333333333,60,50,51.9444444444444,0,0,0,0,0,0,1,1,0
"36–45","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Never",62.5,65,50,59.1666666666667,0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",83.3333333333333,65,33.3333333333333,60.5555555555556,0,0,0,0,0,0,1,1,0
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Always",62.5,55,50,55.8333333333333,0,0,0,0,0,0,1,1,0
"36–45","Male","Undergraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",50,65,33.3333333333333,49.4444444444444,0,1,0,0,0,0,1,1,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",58.3333333333333,60,50,56.1111111111111,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",58.3333333333333,85,83.3333333333333,75.5555555555556,0,1,1,0,0,0,0,0,0
"36–45","Female","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Often",70.8333333333333,60,50,60.2777777777778,0,1,0,0,0,0,0,0,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",83.3333333333333,65,66.6666666666667,71.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",50,80,50,60,1,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9",">= 3","Mother","Never",70.8333333333333,80,66.6666666666667,72.5,0,1,1,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Father","Never",75,65,66.6666666666667,68.8888888888889,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",83.3333333333333,70,50,67.7777777777778,0,1,1,1,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Father","Never",83.3333333333333,60,83.3333333333333,75.5555555555556,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Father","Sometimes",66.6666666666667,65,66.6666666666667,66.1111111111111,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Father","Never",58.3333333333333,60,66.6666666666667,61.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",70.8333333333333,65,83.3333333333333,73.0555555555556,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Often",33.3333333333333,55,50,46.1111111111111,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",62.5,60,50,57.5,0,1,0,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Extended family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,65,66.6666666666667,67.5,0,1,1,0,0,0,0,0,0
"> 45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",37.5,60,66.6666666666667,54.7222222222222,0,1,1,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Never",95.8333333333333,70,100,88.6111111111111,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",83.3333333333333,60,66.6666666666667,70,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Extended family","Middle (less than 50000 BDT)","Female","< 5","1","Father","Never",70.8333333333333,60,100,76.9444444444444,0,1,1,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9",">= 3","Mother","Never",50,55,66.6666666666667,57.2222222222222,0,1,1,0,0,0,1,0,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Never",75,65,66.6666666666667,68.8888888888889,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",79.1666666666667,65,66.6666666666667,70.2777777777778,0,1,1,0,0,0,1,1,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Never",58.3333333333333,65,83.3333333333333,68.8888888888889,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",70.8333333333333,60,83.3333333333333,71.3888888888889,0,1,1,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Never",62.5,65,66.6666666666667,64.7222222222222,0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",87.5,65,83.3333333333333,78.6111111111111,0,1,1,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","1","Father","Never",70.8333333333333,65,83.3333333333333,73.0555555555556,0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",87.5,70,83.3333333333333,80.2777777777778,0,1,1,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Father","Never",66.6666666666667,65,66.6666666666667,66.1111111111111,0,1,0,0,0,0,0,0,0
"> 45","Female","Postgraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",62.5,55,50,55.8333333333333,1,1,0,0,0,0,1,1,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Never",70.8333333333333,60,83.3333333333333,71.3888888888889,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",62.5,65,66.6666666666667,64.7222222222222,0,1,1,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Never",45.8333333333333,95,66.6666666666667,69.1666666666667,0,0,1,0,1,0,0,0,1
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Often",79.1666666666667,70,100,83.0555555555556,0,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Father","Never",70.8333333333333,60,66.6666666666667,65.8333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Self employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Never",95.8333333333333,75,100,90.2777777777778,0,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",54.1666666666667,60,83.3333333333333,65.8333333333333,0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",50,55,66.6666666666667,57.2222222222222,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",50,60,33.3333333333333,47.7777777777778,1,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Father","Never",58.3333333333333,55,100,71.1111111111111,1,0,0,0,0,0,1,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Low (less than 30000 BDT)","Female","5–9",">= 3","Grandmother","Never",70.8333333333333,70,66.6666666666667,69.1666666666667,1,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Extended family","Low (less than 30000 BDT)","Male","5–9","2","Grandmother","Never",75,60,50,61.6666666666667,1,1,0,0,0,0,1,0,0
"36–45","Female","Undergraduate","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,65,66.6666666666667,66.1111111111111,1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",66.6666666666667,50,50,55.5555555555556,1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",66.6666666666667,65,66.6666666666667,66.1111111111111,1,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","1","Mother","Never",62.5,55,66.6666666666667,61.3888888888889,0,1,0,0,0,0,1,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",75,55,66.6666666666667,65.5555555555556,0,0,0,0,0,1,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",45.8333333333333,55,50,50.2777777777778,0,1,0,0,0,0,0,0,0
"25–35","Female","Primary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",54.1666666666667,70,50,58.0555555555556,1,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",45.8333333333333,55,66.6666666666667,55.8333333333333,1,1,1,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","1","Mother","Often",29.1666666666667,80,50,53.0555555555556,1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",62.5,75,83.3333333333333,73.6111111111111,0,1,0,0,0,0,0,0,0
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Sometimes",37.5,85,66.6666666666667,63.0555555555556,1,0,1,0,0,0,1,1,0
"36–45","Male","Undergraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",79.1666666666667,85,83.3333333333333,82.5,1,1,1,0,0,1,1,1,0
"25–35","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",37.5,80,33.3333333333333,50.2777777777778,1,0,1,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",50,65,66.6666666666667,60.5555555555556,0,1,1,0,1,0,0,0,0
"> 45","Male","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",45.8333333333333,65,50,53.6111111111111,0,1,1,0,0,0,0,0,0
"> 45","Male","Undergraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Often",50,55,50,51.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Never",41.6666666666667,60,50,50.5555555555556,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","< 5","2","Mother","Often",58.3333333333333,70,33.3333333333333,53.8888888888889,0,1,0,0,0,0,0,0,0
"> 45","Male","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Father","Never",66.6666666666667,55,50,57.2222222222222,0,1,1,0,0,0,0,0,0
"36–45","Male","Postgraduate","Employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",79.1666666666667,45,50,58.0555555555556,1,1,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","1","Mother","Always",20.8333333333333,45,66.6666666666667,44.1666666666667,0,1,0,0,1,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Always",41.6666666666667,75,66.6666666666667,61.1111111111111,0,1,0,0,1,0,0,0,1
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",45.8333333333333,85,16.6666666666667,49.1666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",87.5,60,66.6666666666667,71.3888888888889,0,0,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",37.5,55,50,47.5,0,1,1,1,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9",">= 3","Mother","Never",16.6666666666667,65,66.6666666666667,49.4444444444444,0,1,1,0,0,0,0,1,0
"36–45","Male","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",83.3333333333333,85,83.3333333333333,83.8888888888889,0,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Self employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Never",50,85,66.6666666666667,67.2222222222222,0,1,1,0,0,0,0,0,0
"36–45","Female","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",87.5,65,66.6666666666667,73.0555555555556,0,1,1,0,0,0,0,1,0
"36–45","Female","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",79.1666666666667,65,66.6666666666667,70.2777777777778,0,1,1,0,0,0,0,1,0
"> 45","Male","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",75,70,66.6666666666667,70.5555555555556,0,1,1,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",75,65,66.6666666666667,68.8888888888889,0,1,1,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",29.1666666666667,80,50,53.0555555555556,0,1,1,1,0,0,0,0,0
"36–45","Female","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Sometimes",29.1666666666667,60,50,46.3888888888889,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",45.8333333333333,75,66.6666666666667,62.5,0,1,1,0,0,0,0,0,0
"> 45","Female","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Sometimes",62.5,60,66.6666666666667,63.0555555555556,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",75,60,33.3333333333333,56.1111111111111,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",66.6666666666667,65,33.3333333333333,55,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",37.5,65,0,34.1666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Male","5–9","2","Father","Never",66.6666666666667,65,66.6666666666667,66.1111111111111,0,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Father","Never",62.5,65,66.6666666666667,64.7222222222222,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Father","Never",83.3333333333333,65,83.3333333333333,77.2222222222222,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","1","Father","Never",66.6666666666667,65,83.3333333333333,71.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Father","Never",45.8333333333333,65,66.6666666666667,59.1666666666667,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Father","Never",62.5,45,66.6666666666667,58.0555555555556,0,1,1,0,0,0,0,0,0
